fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,3,Puerto Clocker,N. Ramirez.,Eugenio Switt V.,1,1.11.63,2.50,489
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,11,La Flambee,R. Fuenzalida.,Eduardo Lab R.,2,1.11.63,4.90,440
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,1,Mecedor,M. Gutiérrez.,Angel Jaque S.,3,1.11.63,8.40,474
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,4,Ya Magico,J. González.,Genaro J. Covarrubias E.,4,1.11.63,9.30,428
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,7,Patmaho,B. Soto.,José Araya B.,5,1.11.63,5.30,521
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,8,Beautiful Moon,H. Jiménez.,Jaime Hirmas R.,6,1.11.63,64.00,413
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,9,Pombito,R. Painen.,Juan C. Pichara J.,7,1.11.63,17.60,456
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,10,La Rumbera,I. Vargas.,Rafael Bernal G.,8,1.11.63,68.60,450
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,6,Benvenuto Cellini,M. Morales.,Fernando Solar S.,9,1.11.63,12.20,484
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,5,Vivimos Soñando,S. González.,Juan C. Pichara J.,10,1.11.63,15.60,467
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,15,Lady Bay,B. Rubilar.,José Lastra B.,11,1.11.63,39.80,383
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,12,Mestiza Flor,T. Seith.,Isaac Michea F.,12,1.11.63,35.40,422
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,13,Cuando Llego Gano,J. Vera.,Juan Gonzalez M.,13,1.11.63,13.10,414
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,2,Conociendote,L.D. Menghini.,Eugenio Switt V.,14,1.11.63,45.60,446
14-02-2026,Hipódromo Chile,1,12:30,1200,Arena,14,City Blue,F. Moreno.,José Venegas P.,U,1.11.63,26.10,420
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,7,Todos Mienten,A. Varas.,Julio Castillo D.,1,58.01,8.90,453
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,3,El Gagui,D. Cheuque.,Patricio Valderrama C.,2,58.01,4.30,409
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,2,Rey Olimpus,I. Vargas.,Oscar Donate S.,3,58.01,7.30,449
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,5,Gianbruno,N. Rojas.,Rodrigo López B.,4,58.01,1.80,463
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,1,Seven Points,N. Molina.,Rodrigo Quiroz S.,5,58.01,24.80,443
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,8,Mi Nieto Facundo,T. Seith.,Aldo Castagneto U.,6,58.01,8.10,455
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,9,Cartao Preto,M. Morales.,Fernando Solar S.,7,58.01,38.60,468
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,10,American Bunny,J. Medina.,Cristobal Gonzalez M.,8,58.01,5.20,404
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,4,Hazte Payasito,J. Eyzaguirre.,Isaac Michea F.,9,58.01,70.20,491
14-02-2026,Hipódromo Chile,2,12:55,1000,Arena,6,On The Level,B. Rubilar.,Harrison Adonis B.,U,58.01,79.90,419
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,5,Good Chief,S. González.,Isaac Michea F.,1,1.57.05,5.00,450
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,14,Baby Shak,N. Ramirez.,Juan C. Pichara J.,2,1.57.05,5.50,480
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,10,Roce Secreto,G. Aros.,Juan C. Pichara J.,3,1.57.05,5.20,434
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,2,Lyngote,R. Fuenzalida.,Luis Machulas G.,4,1.57.05,30.30,506
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,9,Tetra Goleador Z,M. Morales.,Oscar Donate S.,5,1.57.05,28.00,488
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,6,Scar,C. Ortega.,José Alvarez D.,6,1.57.05,10.30,480
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,8,Persevera Siempre,M. Gutiérrez.,Eugenio Switt V.,7,1.57.05,5.40,477
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,13,Stavos,L. González.,Mario Covarrubias,8,1.57.05,26.00,487
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,11,Zulthan,N. Molina.,Jaime Espineira C.,9,1.57.05,10.50,457
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,1,El Forastero,R. Cisternas.,Ricardo Rojas S.,10,1.57.05,7.60,469
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,12,Mariadynis,J.A. Miño.,José Araya B.,11,1.57.05,42.90,468
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,3,El Puntuo,J. Toro.,José Araya B.,12,1.57.05,7.90,471
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,4,Mi Rincon,P. Reyes.,Rodrigo Sánchez Q.,13,1.57.05,45.10,455
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,15,El Florito,J. Zúñiga.,Rafael Bernal G.,14,1.57.05,16.00,439
14-02-2026,Hipódromo Chile,3,13:20,1900,Arena,7,Peluka,L.D. Menghini.,Juan C. Pichara J.,U,1.57.05,62.30,445
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,9,Bitter Black,J. Villablanca.,Maritza Pérez A.,1,1.12.24,6.10,500
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,11,Marrakech,J. González.,Genaro J. Covarrubias E.,2,1.12.24,3.70,448
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,3,Francoli,N. Molina.,Rodrigo Quiroz S.,3,1.12.24,8.80,434
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,1,Rasheem,J. Soto.,Isaac Michea F.,4,1.12.24,6.70,448
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,14,Ahmakil,A. Apablaza.,Alexis Pérez D.,5,1.12.24,31.00,430
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,4,Incluye Todo,D. Medina.,Juan Aravena M.,6,1.12.24,57.80,420
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,7,Silvestrin,H. Ochoa.,Mario A. Apablaza G.,7,1.12.24,3.40,449
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,6,Joven Sanchis,B. Soto.,Jaime Espineira C.,8,1.12.24,43.60,470
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,12,Red Knight,N. Santibañez.,Claudio Bernal G.,9,1.12.24,5.30,474
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,13,Kirsch Royal,A. Covarrubias.,Mario Covarrubias,10,1.12.24,18.60,455
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,8,India Adorada,J.A. Miño.,Eugenio Switt V.,11,1.12.24,18.00,450
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,15,Natalino,A. Zúñiga.,Ricardo Rojas S.,12,1.12.24,57.30,489
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,2,Keep Dreaming,G. Givovich.,Ricardo Rojas S.,13,1.12.24,21.70,393
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,5,Guanaquero,B. Rubilar.,Eduardo Lab R.,14,1.12.24,111.30,481
14-02-2026,Hipódromo Chile,4,13:46,1200,Arena,10,Bhadrak,R. Varas.,José Bravo M.,U,1.12.24,90.50,456
14-02-2026,Hipódromo Chile,5,14:11,1200,Arena,7,Sogna Con Me,A. Varas.,José Venegas P.,1,1.12.63,2.50,436
14-02-2026,Hipódromo Chile,5,14:11,1200,Arena,1,Sinag,D. Cheuque.,Rodrigo Quiroz S.,2,1.12.63,22.60,421
14-02-2026,Hipódromo Chile,5,14:11,1200,Arena,12,Smile Queen,N. Ramirez.,Cristián Urbina R.,3,1.12.63,4.30,521
14-02-2026,Hipódromo Chile,5,14:11,1200,Arena,15,Ragazza Viziata,N. Rojas.,Cristián Urbina R.,4,1.12.63,2.30,432
14-02-2026,Hipódromo Chile,5,14:11,1200,Arena,4,Katerya,B. Soto.,José Araya B.,5,1.12.63,18.50,440
